candle,timestamp_utc,utc_hour,utc_minute,trading_session,elapsed_s,spot_start,spot_chg,up_ask,dn_ask,max_up,max_dn,ratio,signal_dir,signal_price,entry_time,winner,pnl,would_win
88,2026-04-12T13:05:06.130652+00:00,13,5,us_pre,120,71078.26,-72.27,0.13,0.87,47.75,156.25,3.272,DN,0.87,120,UP,-10.0,False
89,2026-04-12T13:10:05.000695+00:00,13,10,us_pre,120,71005.99,119.53,0.59,0.41000000000000003,140.03,0.0,280.06,UP,0.59,120,UP,6.95,True
90,2026-04-12T13:15:04.992795+00:00,13,15,us_pre,120,71125.52,-135.54,0.17000000000000004,0.83,0.01,141.05,282.1,DN,0.83,120,DN,2.05,True
91,2026-04-12T13:20:04.930056+00:00,13,20,us_pre,120,70989.98,59.4,0.87,0.13,102.56,0.0,205.12,UP,0.87,120,UP,1.49,True
92,2026-04-12T13:25:05.001579+00:00,13,25,us_pre,120,71049.38,54.72,0.71,0.29000000000000004,53.12,14.68,3.619,UP,0.71,120,DN,-10.0,False
93,2026-04-12T13:30:04.398803+00:00,13,30,us_pre,120,71104.1,-55.6,0.29000000000000004,0.71,12.23,51.76,4.232,DN,0.71,120,DN,4.08,True
94,2026-04-12T13:35:04.719591+00:00,13,35,us_pre,120,71048.5,27.06,0.18000000000000005,0.82,21.5,79.26,3.687,DN,0.82,120,DN,2.2,True
95,2026-04-12T13:40:05.370655+00:00,13,40,us_pre,120,71075.56,-107.06,0.39,0.61,17.69,114.07,6.448,DN,0.61,120,UP,-10.0,False
96,2026-04-12T13:45:05.428786+00:00,13,45,us_pre,120,70968.5,16.3,0.5800000000000001,0.42,30.49,27.77,1.098,DN,0.42,120,UP,-10.0,False
97,2026-04-12T13:50:05.192308+00:00,13,50,us_pre,120,70984.8,12.51,0.4,0.6,4.42,89.81,20.319,DN,0.6,120,UP,-10.0,False
98,2026-04-12T13:55:05.097183+00:00,13,55,us_pre,120,70997.31,-89.27,0.18999999999999995,0.81,9.21,105.09,11.41,DN,0.81,120,UP,-10.0,False
99,2026-04-12T14:00:05.101560+00:00,14,0,us_pre,120,70908.04,-40.9,0.5,0.5,46.69,40.91,1.141,NONE,,120,UP,0,
100,2026-04-12T14:05:05.025196+00:00,14,5,us_open,120,70867.14,78.84,0.67,0.32999999999999996,93.62,0.0,187.24,UP,0.67,120,UP,4.93,True
101,2026-04-12T14:10:04.955618+00:00,14,10,us_open,120,70945.98,58.64,0.8,0.19999999999999996,64.02,6.32,10.13,UP,0.8,120,UP,2.5,True
102,2026-04-12T14:15:04.915513+00:00,14,15,us_open,120,71004.62,-8.09,0.63,0.37,19.33,36.58,1.892,DN,0.37,120,UP,-10.0,False
103,2026-04-12T14:20:04.781086+00:00,14,20,us_open,120,70996.53,23.65,0.8,0.19999999999999996,68.0,0.0,136.0,UP,0.8,120,UP,2.5,True
104,2026-04-12T14:25:04.475041+00:00,14,25,us_open,120,71020.18,60.21,0.82,0.18000000000000005,71.8,28.02,2.562,UP,0.82,120,UP,2.2,True
105,2026-04-12T14:30:05.003403+00:00,14,30,us_open,120,71080.39,0.03,0.39,0.61,8.49,42.22,4.973,DN,0.61,120,DN,6.39,True
106,2026-04-12T14:35:04.995232+00:00,14,35,us_open,120,71080.42,-45.05,0.10999999999999999,0.89,8.42,80.42,9.551,DN,0.89,120,UP,-10.0,False
107,2026-04-12T14:40:04.511850+00:00,14,40,us_open,120,71035.37,-119.78,0.5,0.5,14.63,106.51,7.28,NONE,,120,DN,0,
108,2026-04-12T14:45:05.262944+00:00,14,45,us_open,120,70915.59,-71.95,0.5,0.5,49.51,144.89,2.926,NONE,,120,UP,0,
109,2026-04-12T14:50:04.279330+00:00,14,50,us_open,121,70843.64,-71.41,0.67,0.32999999999999996,41.18,74.9,1.819,UP,0.67,121,UP,4.93,True
110,2026-04-12T14:55:05.081143+00:00,14,55,us_open,120,70772.23,-53.46,0.58,0.42000000000000004,44.04,57.35,1.302,UP,0.58,120,DN,-10.0,False
111,2026-04-12T15:00:05.107767+00:00,15,0,us_open,120,70718.77,41.06,0.86,0.14,113.97,18.77,6.072,UP,0.86,120,DN,-10.0,False
112,2026-04-12T15:05:05.251316+00:00,15,5,us_open,120,70759.83,30.19,0.67,0.32999999999999996,67.34,14.62,4.606,UP,0.67,120,UP,4.93,True
113,2026-04-12T15:10:04.399868+00:00,15,10,us_open,120,70790.02,-22.21,0.15000000000000002,0.85,0.0,49.08,98.16,DN,0.85,120,DN,1.76,True
114,2026-04-12T15:15:05.142202+00:00,15,15,us_open,120,70767.81,74.67,0.8,0.19999999999999996,76.46,7.08,10.799,UP,0.8,120,UP,2.5,True
115,2026-04-12T15:20:04.972177+00:00,15,20,us_open,120,70842.48,-49.74,0.27,0.73,7.52,94.96,12.628,DN,0.73,120,UP,-10.0,False
116,2026-04-12T15:25:04.913768+00:00,15,25,us_open,120,70792.74,-19.76,0.59,0.41000000000000003,17.89,57.64,3.222,UP,0.59,120,UP,6.95,True
117,2026-04-12T15:30:04.871029+00:00,15,30,us_open,120,70772.98,-65.31,0.52,0.48,9.67,47.42,4.904,DN,0.48,120,UP,-10.0,False
118,2026-04-12T15:35:05.140599+00:00,15,35,us_open,120,70707.67,81.55,0.47,0.53,82.35,99.66,1.21,DN,0.53,120,UP,-10.0,False
119,2026-04-12T15:40:04.671705+00:00,15,40,us_open,120,70789.22,42.37,0.77,0.22999999999999998,49.44,0.01,98.88,UP,0.77,120,UP,2.99,True
120,2026-04-12T15:45:04.528304+00:00,15,45,us_open,120,70831.59,47.46,0.36,0.64,55.83,29.29,1.906,DN,0.64,120,DN,5.62,True
121,2026-04-12T15:50:05.027743+00:00,15,50,us_open,120,70879.05,5.71,0.49,0.51,16.76,26.81,1.6,DN,0.51,120,DN,9.61,True
122,2026-04-12T15:55:05.333035+00:00,15,55,us_open,120,70884.76,25.25,0.5,0.5,47.23,3.59,13.156,NONE,,120,UP,0,
123,2026-04-12T16:00:05.197995+00:00,16,0,us_open,120,70910.01,-29.5,0.13,0.87,0.0,28.29,56.58,DN,0.87,120,DN,1.49,True
124,2026-04-12T16:05:04.755628+00:00,16,5,us_open,120,70880.51,69.37,0.5,0.5,74.21,26.37,2.814,NONE,,120,DN,0,
125,2026-04-12T16:10:04.875332+00:00,16,10,us_open,120,70949.88,-96.53,0.4,0.6,0.0,100.77,201.54,DN,0.6,120,DN,6.67,True
126,2026-04-12T16:15:05.144651+00:00,16,15,us_open,120,70853.35,82.05,0.69,0.31000000000000005,92.18,0.01,184.36,UP,0.69,120,DN,-10.0,False
127,2026-04-12T16:20:04.588319+00:00,16,20,us_open,120,70935.4,-62.3,0.47,0.53,8.38,62.31,7.436,DN,0.53,120,DN,8.87,True
128,2026-04-12T16:25:11.094292+00:00,16,25,us_open,120,70873.1,66.9,0.20999999999999996,0.79,66.9,52.05,1.285,DN,0.79,120,UP,-10.0,False
129,2026-04-12T16:30:09.231207+00:00,16,30,us_open,120,70940.0,-14.01,0.39,0.61,3.78,30.0,7.937,DN,0.61,120,DN,6.39,True
130,2026-04-12T16:35:05.275285+00:00,16,35,us_open,120,70925.99,7.36,0.57,0.43000000000000005,24.01,0.01,48.02,UP,0.57,120,UP,7.54,True
131,2026-04-12T16:40:05.099053+00:00,16,40,us_open,120,70933.35,-44.01,0.18999999999999995,0.81,0.0,47.42,94.84,DN,0.81,120,UP,-10.0,False
132,2026-04-12T16:45:04.574393+00:00,16,45,us_open,120,70889.34,-12.43,0.22999999999999998,0.77,6.22,44.42,7.141,DN,0.77,120,UP,-10.0,False
133,2026-04-12T16:50:04.632557+00:00,16,50,us_open,120,70876.91,-21.85,0.53,0.47,27.74,47.7,1.72,UP,0.53,120,UP,8.87,True
134,2026-04-12T16:55:04.994800+00:00,16,55,us_open,120,70855.06,32.66,0.87,0.13,38.93,0.0,77.86,UP,0.87,120,UP,1.49,True
135,2026-04-12T17:00:05.019202+00:00,17,0,us_open,120,70887.72,61.79,0.31999999999999995,0.68,51.74,16.93,3.056,DN,0.68,120,DN,4.71,True
136,2026-04-12T17:05:05.027242+00:00,17,5,us_open,120,70949.51,32.67,0.6,0.4,49.98,8.76,5.705,UP,0.6,120,UP,6.67,True
137,2026-04-12T17:10:04.908658+00:00,17,10,us_open,120,70982.18,-17.66,0.6599999999999999,0.34,7.09,16.98,2.395,DN,0.34,120,UP,-10.0,False
138,2026-04-12T17:15:04.558595+00:00,17,15,us_open,120,70964.52,-64.51,0.07999999999999996,0.92,0.0,47.18,94.36,DN,0.92,120,DN,0.87,True
139,2026-04-12T17:20:05.300833+00:00,17,20,us_open,120,70900.01,54.71,0.78,0.21999999999999997,47.98,0.0,95.96,UP,0.78,120,UP,2.82,True
140,2026-04-12T17:25:04.554588+00:00,17,25,us_open,120,70954.72,10.41,0.65,0.35,27.46,5.8,4.734,UP,0.65,120,UP,5.38,True
141,2026-04-12T17:30:04.819585+00:00,17,30,us_open,120,70965.13,31.92,0.6,0.4,41.92,5.59,7.499,UP,0.6,120,DN,-10.0,False
142,2026-04-12T17:35:04.611786+00:00,17,35,us_open,120,70997.05,-7.04,0.58,0.42000000000000004,22.96,7.05,3.257,UP,0.58,120,UP,7.24,True
143,2026-04-12T17:40:04.799011+00:00,17,40,us_open,120,70990.01,4.2,0.5,0.5,13.51,37.62,2.785,NONE,,120,UP,0,
144,2026-04-12T17:45:04.534743+00:00,17,45,us_open,120,70994.21,0.58,0.44999999999999996,0.55,5.48,18.93,3.454,DN,0.55,120,DN,8.18,True
145,2026-04-12T17:50:05.120980+00:00,17,50,us_open,120,70994.79,43.23,0.48,0.52,22.38,67.52,3.017,DN,0.52,120,UP,-10.0,False
146,2026-04-12T17:55:04.598924+00:00,17,55,us_open,120,71038.02,84.24,0.96,0.040000000000000036,162.88,28.39,5.737,UP,0.96,120,UP,0.42,True
147,2026-04-12T18:00:05.079431+00:00,18,0,us_open,120,71122.26,39.75,0.62,0.38,29.74,29.93,1.006,UP,0.62,120,DN,-10.0,False
148,2026-04-12T18:05:04.497388+00:00,18,5,us_open,120,71162.01,-8.0,0.51,0.49,0.0,105.81,211.62,DN,0.49,120,DN,10.41,True
149,2026-04-12T18:10:05.186953+00:00,18,10,us_open,120,71154.01,-6.01,0.5,0.5,27.99,62.04,2.217,NONE,,120,UP,0,
150,2026-04-12T18:15:04.578024+00:00,18,15,us_open,120,71148.0,22.72,0.38,0.62,6.38,16.36,2.564,DN,0.62,120,DN,6.13,True
151,2026-04-12T18:20:04.407116+00:00,18,20,us_open,120,71170.72,-72.18,0.5,0.5,40.24,70.72,1.757,NONE,,120,DN,0,
152,2026-04-12T18:25:05.157565+00:00,18,25,us_open,121,71098.54,-2.27,0.38,0.62,3.91,33.38,8.537,DN,0.62,121,DN,6.13,True
153,2026-04-12T18:30:04.606483+00:00,18,30,us_open,120,71096.27,-4.85,0.5,0.5,7.61,15.14,1.989,NONE,,120,DN,0,
154,2026-04-12T18:35:04.425364+00:00,18,35,us_open,120,71091.42,61.1,0.73,0.27,85.58,0.01,171.16,UP,0.73,120,UP,3.7,True
155,2026-04-12T18:40:04.991504+00:00,18,40,us_open,120,71152.52,41.71,0.79,0.20999999999999996,47.84,6.17,7.754,UP,0.79,120,DN,-10.0,False
156,2026-04-12T18:45:04.764850+00:00,18,45,us_open,120,71194.23,-74.81,0.62,0.38,0.0,74.81,149.62,DN,0.38,120,DN,16.32,True
157,2026-04-12T18:50:04.406628+00:00,18,50,us_open,120,71119.42,-0.98,0.5,0.5,2.92,14.87,5.092,NONE,,120,DN,0,
158,2026-04-12T18:55:06.104453+00:00,18,55,us_open,120,71118.44,22.08,0.68,0.31999999999999995,39.85,0.0,79.7,UP,0.68,120,UP,4.71,True
159,2026-04-12T19:00:04.802203+00:00,19,0,us_open,120,71140.52,-5.52,0.5,0.5,16.53,16.72,1.011,NONE,,120,UP,0,
160,2026-04-12T19:05:05.054040+00:00,19,5,us_open,120,71135.0,17.56,0.79,0.20999999999999996,17.57,0.0,35.14,UP,0.79,120,UP,2.66,True
161,2026-04-12T19:10:04.349718+00:00,19,10,us_open,120,71152.56,0.18,0.52,0.48,21.77,0.0,43.54,UP,0.52,120,UP,9.23,True
162,2026-04-12T19:15:04.765258+00:00,19,15,us_open,120,71152.74,-19.1,0.69,0.31000000000000005,69.83,19.11,3.654,UP,0.69,120,UP,4.49,True
163,2026-04-12T19:20:04.672540+00:00,19,20,us_open,120,71133.64,7.38,0.5,0.5,7.39,9.84,1.332,NONE,,120,UP,0,
164,2026-04-12T19:25:05.020641+00:00,19,25,us_open,120,71141.02,14.42,0.76,0.24,24.86,0.01,49.72,UP,0.76,120,UP,3.16,True
165,2026-04-12T19:30:04.594271+00:00,19,30,us_open,120,71155.44,10.43,0.5,0.5,10.43,2.65,3.936,NONE,,120,UP,0,
166,2026-04-12T19:35:05.164761+00:00,19,35,us_open,120,71165.87,-10.87,0.5800000000000001,0.42,0.0,15.87,31.74,DN,0.42,120,UP,-10.0,False
167,2026-04-12T19:40:04.532854+00:00,19,40,us_open,120,71155.0,-36.88,0.5,0.5,0.0,73.4,146.8,DN,0.5,120,UP,-10.0,False
168,2026-04-12T19:45:04.794878+00:00,19,45,us_open,120,71118.12,-15.65,0.6599999999999999,0.34,12.16,10.12,1.202,DN,0.34,120,UP,-10.0,False
169,2026-04-12T19:50:05.129543+00:00,19,50,us_open,120,71102.47,0.37,0.5,0.5,15.69,16.66,1.062,NONE,,120,UP,0,
170,2026-04-12T19:55:04.828935+00:00,19,55,us_open,120,71102.84,6.16,0.49,0.51,6.16,20.84,3.383,DN,0.51,120,UP,-10.0,False
171,2026-04-12T20:00:04.386339+00:00,20,0,us_open,120,71109.0,-25.8,0.19999999999999996,0.8,7.32,30.24,4.131,DN,0.8,120,DN,2.5,True
172,2026-04-12T20:05:04.822546+00:00,20,5,after_hours,120,71083.2,-3.86,0.72,0.28,23.56,14.92,1.579,UP,0.72,120,UP,3.89,True
173,2026-04-12T20:10:04.225465+00:00,20,10,after_hours,120,71079.34,-69.72,0.29000000000000004,0.71,0.0,69.71,139.42,DN,0.71,120,DN,4.08,True
